id,clock,event,client,waitress,duration
1,12.5,Arriving,C001,,12.5
2,16.5,Filling,C001,W001,4
3,20.0,Arriving,C002,,7.5
4,22.5,Drinking,C001,,6
5,26.0,Filling,C002,W001,6
6,27.5,Arriving,C003,,7.5
7,27.5,Filling,C001,W002,5
8,30.0,Arriving,C004,,2.5
9,31.0,Cleaning,,W001,5
10,31.0,Drinking,C002,,5
11,34.5,Filling,C003,W002,7
12,35.5,Drinking,C001,,8
13,37.0,Filling,C004,W001,6
14,40.5,Filling,C002,W002,6
15,41.5,Drinking,C003,,7
16,43.0,Filling,C001,W001,6
17,43.0,Drinking,C004,,6
18,45.5,Cleaning,,W002,5
19,47.5,Drinking,C002,,7
20,48.0,Filling,C003,W001,5
21,49.0,Drinking,C001,,6
22,50.5,Filling,C004,W002,5
23,53.0,Drinking,C003,,5
24,54.0,Filling,C002,W001,6
25,55.5,Drinking,C004,,5
26,56.5,Filling,C001,W002,6
27,59.0,Drinking,C002,,5
28,60.0,Filling,C003,W001,6
29,63.5,Filling,C004,W002,7
30,63.5,Drinking,C001,,7
31,65.0,Drinking,C003,,5
32,66.0,Filling,C002,W001,6
33,68.5,Cleaning,,W002,5
34,69.5,Drinking,C004,,6
35,71.0,Filling,C003,W001,5
36,73.5,Cleaning,,W002,5
37,74.0,Drinking,C002,,8
38,76.0,Drinking,C003,,5
39,77.0,Filling,C004,W001,6
40,78.5,Cleaning,,W002,5
41,82.0,Cleaning,,W001,5
42,83.5,Cleaning,,W002,5
43,84.0,Drinking,C004,,7
44,87.0,Cleaning,,W001,5
45,88.5,Cleaning,,W002,5
46,92.0,Filling,C004,W001,5
47,93.5,Cleaning,,W002,5
48,97.0,Cleaning,,W001,5
49,98.0,Drinking,C004,,6
50,98.5,Cleaning,,W002,5
51,102.0,Cleaning,,W001,5
52,105.5,Filling,C004,W002,7
53,107.0,Cleaning,,W001,5
54,110.5,Cleaning,,W002,5
55,112.0,Cleaning,,W001,5
56,112.5,Drinking,C004,,7
